generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-739.39,-2312.46,-3577.62,574.43,924.039,0,252.338,217.444,80,23,8,1
1,-575.175,-2179.01,-3723.3,522.731,545.941,0,240.658,391.306,80,22,8,1
2,-506.999,-2096.76,-3593.06,481.132,629.111,0,221.577,217.444,80,21,8,1
3,-379.621,-2069.47,-3566.3,512.054,458.206,0,231.053,282.415,80,21,8,1
4,-220.416,-1997.01,-3435.65,507.034,247.716,0,228.638,331.096,80,21,8,1
5,30.1178,-1982.12,-4151.89,532.126,236.835,0,232.074,113.1,80,22,8,1
6,30.1178,-1638.26,-3408.57,532.126,236.835,0,232.074,113.1,80,22,8,1
7,48.0573,-1682.46,-3848.35,491.003,167.56,0,203.935,151.452,80,19,8,1
8,187.46,-1742.56,-3490.29,475.746,0,0,194.043,174.242,80,19,8,1
9,187.46,-1708.21,-3581.26,475.746,0,0,194.043,174.242,80,19,8,1
10,222.595,-1604.35,-3549.71,497.135,0,0,182.935,171.605,80,18,8,1
11,222.595,-1740.52,-3545.53,497.135,0,0,182.935,171.605,80,18,8,1
12,261.833,-1565.32,-3770.44,504.689,0,0,151.251,171.605,80,17,8,1
13,261.833,-1856.01,-3811.33,504.689,0,0,151.251,171.605,80,17,8,1
14,261.833,-1549.59,-3453.12,504.689,0,0,151.251,171.605,80,17,8,1
15,261.833,-1756.42,-3733.33,504.689,0,0,151.251,171.605,80,17,8,1
16,261.833,-1745.14,-3736.64,504.689,0,0,151.251,171.605,80,17,8,1
17,261.833,-1691.31,-3857.46,504.689,0,0,151.251,171.605,80,17,8,1
18,263.402,-1703.68,-3526.76,532.269,0,0,177.262,171.605,80,18,8,1
19,292.066,-1785.24,-3415.5,482.153,0,0,189.605,80.4825,80,17,8,1
20,330.83,-1762.69,-3371.2,519.006,0,0,187.694,80.4825,80,18,8,1
21,330.83,-1746.81,-4022.4,519.006,0,0,187.694,80.4825,80,18,8,1
22,348.448,-1618.57,-3375.95,526.561,0,0,177.63,80.4825,80,18,8,1
23,363.307,-1668.66,-3523.74,547.588,0,0,183.798,80.4825,80,18,8,1
24,363.307,-1772.57,-3489.87,547.588,0,0,183.798,80.4825,80,18,8,1
25,363.307,-1629.45,-3846.07,547.588,0,0,183.798,80.4825,80,18,8,1
26,363.307,-1632.92,-3789.31,547.588,0,0,183.798,80.4825,80,18,8,1
27,363.307,-1773.55,-3785.51,547.588,0,0,183.798,80.4825,80,18,8,1
28,363.307,-1750.02,-3620.2,547.588,0,0,183.798,80.4825,80,18,8,1
29,363.307,-1694.36,-3477.69,547.588,0,0,183.798,80.4825,80,18,8,1
30,363.307,-1824.39,-3554.5,547.588,0,0,183.798,80.4825,80,18,8,1
31,363.307,-1820.46,-3317.38,547.588,0,0,183.798,80.4825,80,18,8,1
32,363.307,-2175.27,-3716.56,547.588,0,0,183.798,80.4825,80,18,8,1
33,371.39,-2028.8,-3615.87,570.43,0,0,198.557,80.4825,80,19,8,1
34,371.39,-1989.8,-3598.51,570.43,0,0,198.557,80.4825,80,19,8,1
35,371.39,-2015.67,-3728.78,570.43,0,0,198.557,80.4825,80,19,8,1
36,371.39,-2098.32,-3772.6,570.43,0,0,198.557,80.4825,80,19,8,1
37,372.657,-2098.17,-3683.8,560.87,0,0,187.731,80.4825,80,18,8,1
38,372.657,-2157.42,-3745.52,560.87,0,0,187.731,80.4825,80,18,8,1
39,372.657,-2023.68,-3528.33,560.87,0,0,187.731,80.4825,80,18,8,1
40,372.657,-2229.05,-3476.29,560.87,0,0,187.731,80.4825,80,18,8,1
41,372.657,-2184.68,-3627.46,560.87,0,0,187.731,80.4825,80,18,8,1
42,372.657,-2191.1,-3695.75,560.87,0,0,187.731,80.4825,80,18,8,1
43,372.657,-2105.27,-3443.97,560.87,0,0,187.731,80.4825,80,18,8,1
44,372.657,-2173.3,-3646.13,560.87,0,0,187.731,80.4825,80,18,8,1
45,372.657,-2364.58,-3534.78,560.87,0,0,187.731,80.4825,80,18,8,1
46,372.657,-2141.82,-3544.46,560.87,0,0,187.731,80.4825,80,18,8,1
47,372.657,-2210.23,-3496.41,560.87,0,0,187.731,80.4825,80,18,8,1
48,372.657,-2287.91,-3440.22,560.87,0,0,187.731,80.4825,80,18,8,1
49,372.657,-2205.26,-3521.79,560.87,0,0,187.731,80.4825,80,18,8,1
