generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-111613,-264985,-379018,574.43,924.039,110794,252.338,217.444,0,23,8,1
1,-101304,-252174,-400462,590.784,1123.85,99880.8,288.718,601.902,0,25,8,1
2,-65710,-243578,-368360,523.683,520.57,65002.8,262.937,447.426,0,22,8,1
3,-56092.2,-227900,-371462,527.067,288.615,55680,232.861,417.779,0,21,8,1
4,-56092.2,-238882,-391006,527.067,288.615,55680,232.861,417.779,0,21,8,1
5,-53156.6,-258571,-380891,547.239,488.577,52503.5,264.347,447.426,0,22,8,1
6,-33797.1,-238944,-377038,513.471,155.861,33436.1,211.952,506.728,0,20,8,1
7,-33797.1,-235403,-381735,513.471,155.861,33436.1,211.952,506.728,0,20,8,1
8,-31435.3,-238335,-366994,524.153,227.787,31008.5,216.479,506.728,0,20,8,1
9,-30434.8,-232797,-366606,420.339,168.405,29766.5,191.873,728.427,0,19,8,1
10,-30434.8,-241397,-364319,420.339,168.405,29766.5,191.873,728.427,0,19,8,1
11,-15858.5,-235308,-382585,458.855,71.9262,15414.1,191.991,639.279,0,18,8,1
12,-11642.1,-235951,-374008,460.654,71.9262,11385.3,175.572,469.918,0,17,8,1
13,-11642.1,-232616,-367649,460.654,71.9262,11385.3,175.572,469.918,0,17,8,1
14,-8345.69,-228260,-388070,499.675,0,7804.99,219.171,821.204,0,20,8,1
15,-5439.83,-208068,-372064,485.665,0,5610.38,170.661,144.451,0,18,8,1
16,-4768.78,-229111,-360980,418.758,0,4811.43,159.165,216.936,0,16,8,1
17,-3434.44,-226538,-372293,422.128,0,3410.67,155.074,290.826,0,17,8,1
18,-1550.28,-215091,-358467,378.829,0,1355.9,102.224,470.982,0,14,8,1
19,-1550.28,-207349,-366106,378.829,0,1355.9,102.224,470.982,0,14,8,1
20,-1550.28,-204402,-374718,378.829,0,1355.9,102.224,470.982,0,14,8,1
21,-1313.2,-195049,-368934,356.316,0,1354.43,118.505,196.578,0,14,8,1
22,-789.089,-190932,-368433,381.008,0,934.656,90.9539,144.486,0,13,8,1
23,-789.089,-196439,-377629,381.008,0,934.656,90.9539,144.486,0,13,8,1
24,-789.089,-199166,-384275,381.008,0,934.656,90.9539,144.486,0,13,8,1
25,-789.089,-191609,-360995,381.008,0,934.656,90.9539,144.486,0,13,8,1
26,-694.73,-198536,-374240,424.429,0,815.937,90.2178,213.005,0,14,8,1
27,-597.729,-198923,-366332,344.155,0,714.451,82.9467,144.486,0,12,8,1
28,-597.729,-205337,-387159,344.155,0,714.451,82.9467,144.486,0,12,8,1
29,-597.729,-217624,-357496,344.155,0,714.451,82.9467,144.486,0,12,8,1
30,-597.729,-228944,-383231,344.155,0,714.451,82.9467,144.486,0,12,8,1
31,-597.729,-230075,-391130,344.155,0,714.451,82.9467,144.486,0,12,8,1
32,-597.729,-236166,-384211,344.155,0,714.451,82.9467,144.486,0,12,8,1
33,-597.729,-225414,-392627,344.155,0,714.451,82.9467,144.486,0,12,8,1
34,-479.288,-207610,-369089,306.805,0,497.621,55.1399,233.333,0,11,8,1
35,-479.288,-211420,-374088,306.805,0,497.621,55.1399,233.333,0,11,8,1
36,-479.288,-233157,-363627,306.805,0,497.621,55.1399,233.333,0,11,8,1
37,-147.007,-227765,-379727,293.655,0,178.348,28.981,233.333,0,10,8,1
38,-147.007,-205898,-364155,293.655,0,178.348,28.981,233.333,0,10,8,1
39,-147.007,-210750,-375319,293.655,0,178.348,28.981,233.333,0,10,8,1
40,-147.007,-213991,-372645,293.655,0,178.348,28.981,233.333,0,10,8,1
41,-147.007,-204824,-358599,293.655,0,178.348,28.981,233.333,0,10,8,1
42,-147.007,-212355,-373862,293.655,0,178.348,28.981,233.333,0,10,8,1
43,-147.007,-200868,-370411,293.655,0,178.348,28.981,233.333,0,10,8,1
44,-147.007,-197677,-384293,293.655,0,178.348,28.981,233.333,0,10,8,1
45,-147.007,-188946,-359820,293.655,0,178.348,28.981,233.333,0,10,8,1
46,-147.007,-212847,-372101,293.655,0,178.348,28.981,233.333,0,10,8,1
47,-45.3438,-208035,-373305,325.288,0,178.173,47.9731,144.486,0,10,8,1
48,-45.3438,-191901,-376787,325.288,0,178.173,47.9731,144.486,0,10,8,1
49,-45.3438,-201364,-378152,325.288,0,178.173,47.9731,144.486,0,10,8,1
