generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-110609,-245506,-366035,574.43,0,110794,252.338,217.444,80,23,8,1
1,-106169,-252257,-389246,551.444,0,105738,245.029,816.439,80,23,8,1
2,-93368,-242866,-368764,591.258,0,92938.8,261.482,838.914,80,22,8,1
3,-50643.9,-227529,-371085,557.158,0,50597.2,225.283,458.58,80,22,8,1
4,-43761,-209248,-357121,510.067,0,43704.9,254.982,391.21,80,22,8,1
5,-31563,-206861,-368384,556.296,0,31332.5,222.423,644.326,80,21,8,1
6,-28808.2,-222383,-360840,494.297,0,28133.7,225.869,1022.97,80,20,8,1
7,-18779.8,-218894,-359388,548.058,0,18920.9,236.908,250.122,80,19,8,1
8,-15652.4,-205466,-365971,505.231,0,15002.3,184.178,1051.16,80,18,8,1
9,-14981.1,-198506,-359682,519.545,0,14765.2,157.595,657.817,80,18,8,1
10,-13615.3,-197329,-384663,488.301,0,13169.6,193.007,821.013,80,17,8,1
11,-10423.4,-215787,-369458,431.362,0,10331,161.087,442.657,80,15,8,1
12,-10423.4,-222457,-363826,431.362,0,10331,161.087,442.657,80,15,8,1
13,-10345.9,-220140,-369475,498.697,0,10120.3,146.438,657.817,80,16,8,1
14,-5966.59,-218631,-365444,438.591,0,5576.13,181.697,727.35,80,17,8,1
15,-3837.64,-211980,-359022,507.894,0,3521.8,188.694,715.044,80,17,8,1
16,-3389.64,-205429,-369421,424.184,0,3298.59,152.57,442.657,80,15,8,1
17,-2916.14,-227544,-349665,496.448,0,2953.3,129.834,409.459,80,15,8,1
18,-2441.14,-203164,-370438,395.86,0,2186.77,135.214,595.017,80,14,8,1
19,-2441.14,-208695,-381294,395.86,0,2186.77,135.214,595.017,80,14,8,1
20,-2441.14,-196006,-379309,395.86,0,2186.77,135.214,595.017,80,14,8,1
21,-2383.46,-198744,-359408,368.165,0,2362.66,119.806,349.16,80,13,8,1
22,-1436.88,-195741,-366933,442.219,0,1489.35,154.08,315.667,80,14,8,1
23,-1332.38,-204942,-359967,452.984,0,1484.01,76.8516,304.503,80,13,8,1
24,-1064.08,-184790,-362478,423.303,0,1111.67,140.05,315.667,80,13,8,1
25,-1064.08,-204478,-372399,423.303,0,1111.67,140.05,315.667,80,13,8,1
26,-1064.08,-205408,-365030,423.303,0,1111.67,140.05,315.667,80,13,8,1
27,-1019.35,-193852,-374627,451.905,0,1184.75,129.262,237.24,80,13,8,1
28,-749.646,-188650,-372769,379.501,0,680.284,75.4514,453.411,80,11,8,1
29,-749.646,-201598,-379045,379.501,0,680.284,75.4514,453.411,80,11,8,1
30,-749.646,-212420,-370635,379.501,0,680.284,75.4514,453.411,80,11,8,1
31,-749.646,-213454,-388519,379.501,0,680.284,75.4514,453.411,80,11,8,1
32,-749.646,-195481,-383100,379.501,0,680.284,75.4514,453.411,80,11,8,1
33,-486.64,-207708,-377797,389.751,0,660.837,58.3137,237.24,80,10,8,1
34,-486.64,-187457,-368759,389.751,0,660.837,58.3137,237.24,80,10,8,1
35,-486.64,-179257,-373693,389.751,0,660.837,58.3137,237.24,80,10,8,1
36,-486.64,-186282,-350163,389.751,0,660.837,58.3137,237.24,80,10,8,1
37,-486.64,-186269,-353607,389.751,0,660.837,58.3137,237.24,80,10,8,1
38,-486.64,-206182,-372580,389.751,0,660.837,58.3137,237.24,80,10,8,1
39,-478.614,-202622,-374349,352.898,0,621.53,52.7429,237.24,80,9,8,1
40,-478.614,-192566,-391472,352.898,0,621.53,52.7429,237.24,80,9,8,1
41,-478.614,-192172,-355906,352.898,0,621.53,52.7429,237.24,80,9,8,1
42,-478.614,-195822,-372722,352.898,0,621.53,52.7429,237.24,80,9,8,1
43,-478.614,-189418,-374505,352.898,0,621.53,52.7429,237.24,80,9,8,1
44,-478.614,-203317,-368817,352.898,0,621.53,52.7429,237.24,80,9,8,1
45,-476.911,-210717,-380033,366.778,0,660.837,58.3137,194.538,70,9,7,2
46,-476.911,-196085,-358909,366.778,0,660.837,58.3137,194.538,70,9,7,2
47,-468.886,-201619,-374203,329.925,0,621.53,52.7429,194.538,70,8,7,2
48,-468.886,-206957,-366125,329.925,0,621.53,52.7429,194.538,70,8,7,2
49,-468.886,-215091,-360949,329.925,0,621.53,52.7429,194.538,70,8,7,2
