generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-112108,-263056,-392445,0,924.039,110794,252.338,217.444,80,23,8,1
1,-96674.2,-246081,-362213,0,1070.71,94965.6,247.809,470.132,80,21,8,1
2,-86232.1,-247875,-372795,0,1061.02,84573.8,265.446,411.751,80,22,8,1
3,-75470.7,-235847,-374476,0,432.267,74262.4,279.375,576.676,80,22,8,1
4,-66999.4,-225863,-359244,0,432.267,65808,262.434,576.676,80,21,8,1
5,-66999.4,-235383,-380090,0,432.267,65808,262.434,576.676,80,21,8,1
6,-51884.5,-222434,-375393,0,156.024,51028.3,270.696,509.511,80,21,8,1
7,-50883.7,-234178,-372904,0,71.9262,50063.4,241.981,586.417,80,20,8,1
8,-42067,-230355,-376929,0,64.8566,41233.6,216.691,631.776,80,20,8,1
9,-42067,-237926,-380586,0,64.8566,41233.6,216.691,631.776,80,20,8,1
10,-39276.5,-237648,-375219,0,220.881,38571.8,217.226,346.596,80,21,8,1
11,-37789.7,-250989,-375509,0,148.127,37045,237.522,439.069,80,21,8,1
12,-34975.4,-243637,-390156,0,62.9142,34042.1,231.215,719.171,80,20,8,1
13,-24217.4,-239300,-368554,0,134.326,23500.3,219.572,443.17,80,21,8,1
14,-24217.4,-239824,-414307,0,134.326,23500.3,219.572,443.17,80,21,8,1
15,-17659.7,-241286,-389637,0,0,16975,239.54,525.117,80,21,8,1
16,-17263.8,-225706,-378812,0,0,16740.6,220.959,382.253,80,19,8,1
17,-17263.8,-213539,-384730,0,0,16740.6,220.959,382.253,80,19,8,1
18,-17263.8,-224047,-385772,0,0,16740.6,220.959,382.253,80,19,8,1
19,-10897.8,-217808,-390066,0,0,10241.1,183.461,553.204,80,20,8,1
20,-7154.94,-215888,-380823,0,0,6844.28,179.778,210.88,80,18,8,1
21,-7154.94,-202709,-379070,0,0,6844.28,179.778,210.88,80,18,8,1
22,-7154.94,-198942,-366869,0,0,6844.28,179.778,210.88,80,18,8,1
23,-6417.58,-222428,-379378,0,0,5774.92,197.546,525.117,80,18,8,1
24,-5241.53,-245850,-379938,0,0,4688.82,164.258,468.452,80,17,8,1
25,-5241.53,-226860,-388624,0,0,4688.82,164.258,468.452,80,17,8,1
26,-2705.21,-241488,-381136,0,0,2381.06,169.339,234.808,80,16,8,1
27,-2705.21,-242435,-386683,0,0,2381.06,169.339,234.808,80,16,8,1
28,-2468.23,-240182,-387097,0,0,2047.46,175.659,325.112,80,18,8,1
29,-2468.23,-226183,-423190,0,0,2047.46,175.659,325.112,80,18,8,1
30,-2468.23,-220605,-376163,0,0,2047.46,175.659,325.112,80,18,8,1
31,-2468.23,-217603,-375563,0,0,2047.46,175.659,325.112,80,18,8,1
32,-2403.56,-226218,-384585,0,0,2217.11,192.261,74.186,80,17,8,1
33,-2347.35,-234842,-377921,0,0,2171.65,181.507,74.186,80,16,8,1
34,-2067.82,-235591,-387346,0,0,1764.33,148.682,234.808,80,14,8,1
35,-2067.82,-241250,-386345,0,0,1764.33,148.682,234.808,80,14,8,1
36,-2067.82,-232766,-367258,0,0,1764.33,148.682,234.808,80,14,8,1
37,-2067.82,-230384,-374780,0,0,1764.33,148.682,234.808,80,14,8,1
38,-1832.56,-231559,-378894,0,0,1688.06,150.313,74.186,80,14,8,1
39,-1788.85,-229300,-385213,0,0,1519.75,145.764,203.333,80,13,8,1
40,-1788.85,-220473,-383719,0,0,1519.75,145.764,203.333,80,13,8,1
41,-1718.21,-219950,-386200,0,0,1455.93,107.472,234.808,80,11,8,1
42,-1718.21,-221411,-377274,0,0,1455.93,107.472,234.808,80,11,8,1
43,-1661.49,-214344,-376493,0,0,1509.61,157.695,74.186,80,15,8,1
44,-1661.49,-223085,-376021,0,0,1509.61,157.695,74.186,80,15,8,1
45,-1661.49,-226424,-394738,0,0,1509.61,157.695,74.186,80,15,8,1
46,-1661.49,-212435,-379657,0,0,1509.61,157.695,74.186,80,15,8,1
47,-1661.49,-223860,-383828,0,0,1509.61,157.695,74.186,80,15,8,1
48,-1661.49,-221011,-364597,0,0,1509.61,157.695,74.186,80,15,8,1
49,-1661.49,-207860,-389525,0,0,1509.61,157.695,74.186,80,15,8,1
