generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-111316,-263778,-373608,574.43,924.039,110794,252.338,0,80,23,8,1
1,-64410.1,-265293,-373392,535.485,505.225,64222.4,297.973,0,80,23,8,1
2,-64410.1,-260351,-389042,535.485,505.225,64222.4,297.973,0,80,23,8,1
3,-35885.2,-241521,-369366,526.187,197.24,36047.4,246.812,0,80,21,8,1
4,-35885.2,-231340,-372595,526.187,197.24,36047.4,246.812,0,80,21,8,1
5,-35815.9,-231341,-369033,540.502,197.24,35999.5,239.592,0,80,21,8,1
6,-16669.1,-213108,-376492,494.971,127.755,16897,219.379,0,80,20,8,1
7,-16669.1,-235948,-372429,494.971,127.755,16897,219.379,0,80,20,8,1
8,-16669.1,-247833,-368727,494.971,127.755,16897,219.379,0,80,20,8,1
9,-16669.1,-227207,-375168,494.971,127.755,16897,219.379,0,80,20,8,1
10,-15603.6,-231389,-370967,488.88,72.5462,15884,215.922,0,80,19,8,1
11,-15603.6,-239678,-381710,488.88,72.5462,15884,215.922,0,80,19,8,1
12,-12496.7,-227063,-362972,501.624,125.787,12730.7,221.833,0,80,19,8,1
13,-10572.4,-226268,-376834,413.975,0,10916.4,149.925,0,80,16,8,1
14,-9933.69,-258665,-380758,431.494,66.0057,10183,196.186,0,80,16,8,1
15,-9933.69,-222610,-382944,431.494,66.0057,10183,196.186,0,80,16,8,1
16,-8887.58,-225907,-365281,475.651,61.7494,9180.84,200.639,0,80,18,8,1
17,-7927.27,-218245,-368588,382.378,0,8242.89,146.76,0,80,15,8,1
18,-2622.02,-205785,-370834,457.286,0,2947.56,211.745,0,80,17,8,1
19,-2622.02,-201399,-380732,457.286,0,2947.56,211.745,0,80,17,8,1
20,-2622.02,-195618,-383321,457.286,0,2947.56,211.745,0,80,17,8,1
21,-2622.02,-198123,-370467,457.286,0,2947.56,211.745,0,80,17,8,1
22,-2474.82,-194287,-367034,382.851,0,2777.95,159.719,0,80,14,8,1
23,-1786.65,-189569,-360334,386.118,0,2090.66,162.113,0,80,15,8,1
24,-1142.67,-172282,-371273,350.671,0,1447.14,126.205,0,80,14,8,1
25,-1142.67,-197472,-382159,350.671,0,1447.14,126.205,0,80,14,8,1
26,-881.147,-202401,-369637,376.043,0,1206.78,130.413,0,80,14,8,1
27,-881.147,-192643,-378215,376.043,0,1206.78,130.413,0,80,14,8,1
28,-375.77,-206411,-355725,258.788,0,644.944,69.6135,0,80,10,8,1
29,-375.77,-203763,-366589,258.788,0,644.944,69.6135,0,80,10,8,1
30,44.1845,-203363,-385760,238.32,0,209.047,65.089,0,80,9,8,1
31,44.1845,-200965,-378908,238.32,0,209.047,65.089,0,80,9,8,1
32,44.1845,-194338,-367400,238.32,0,209.047,65.089,0,80,9,8,1
33,270.208,-197819,-381497,194.437,0,4.22922,0,0,80,8,8,1
34,270.208,-190754,-389953,194.437,0,4.22922,0,0,80,8,8,1
35,270.208,-186500,-369980,194.437,0,4.22922,0,0,80,8,8,1
36,270.208,-173094,-356831,194.437,0,4.22922,0,0,80,8,8,1
37,270.208,-167756,-383818,194.437,0,4.22922,0,0,80,8,8,1
38,270.208,-180233,-368119,194.437,0,4.22922,0,0,80,8,8,1
39,270.208,-197162,-403603,194.437,0,4.22922,0,0,80,8,8,1
40,270.208,-192105,-353585,194.437,0,4.22922,0,0,80,8,8,1
41,270.208,-193887,-368771,194.437,0,4.22922,0,0,80,8,8,1
42,270.208,-187908,-381339,194.437,0,4.22922,0,0,80,8,8,1
43,270.208,-180351,-358273,194.437,0,4.22922,0,0,80,8,8,1
44,271.734,-191499,-372219,195.964,0,4.22922,0,0,80,8,8,1
45,271.734,-170370,-386303,195.964,0,4.22922,0,0,80,8,8,1
46,287.289,-183001,-364366,229.559,0,9.39701,12.8734,0,80,9,8,1
47,287.289,-183724,-390577,229.559,0,9.39701,12.8734,0,80,9,8,1
48,287.289,-167915,-363089,229.559,0,9.39701,12.8734,0,80,9,8,1
49,302.781,-180843,-359835,227.011,0,4.22922,0,0,80,8,8,1
