generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-111281,-264615,-378625,574.43,924.039,110794,0,217.444,80,23,8,1
1,-100936,-251801,-400078,590.784,1123.85,99880.8,0,601.902,80,25,8,1
2,-65367.1,-243212,-367961,523.683,520.57,65002.8,0,447.426,80,22,8,1
3,-55779.3,-227699,-371070,527.067,288.615,55680,0,417.779,80,21,8,1
4,-55779.3,-239872,-396161,527.067,288.615,55680,0,417.779,80,21,8,1
5,-48888.9,-249044,-381345,490.057,168.831,48796.6,0,493.456,80,19,8,1
6,-24020.7,-239046,-400040,430.865,0,24194.7,0,336.901,80,18,8,1
7,-24020.7,-245193,-381547,430.865,0,24194.7,0,336.901,80,18,8,1
8,-22981.1,-242797,-380700,509.55,0,23233.7,0,336.901,80,21,8,1
9,-22981.1,-230803,-372403,509.55,0,23233.7,0,336.901,80,21,8,1
10,-22981.1,-222912,-369068,509.55,0,23233.7,0,336.901,80,21,8,1
11,-21350.5,-241163,-370537,504.944,62.4,21486.6,0,386.407,80,18,8,1
12,-6270.5,-250817,-371216,500.26,0,6283.78,0,566.981,80,19,8,1
13,-6270.5,-245113,-386173,500.26,0,6283.78,0,566.981,80,19,8,1
14,-4128.18,-226605,-383373,447.863,0,3731,0,925.037,80,17,8,1
15,-4128.18,-244009,-370510,447.863,0,3731,0,925.037,80,17,8,1
16,-4128.18,-249193,-378146,447.863,0,3731,0,925.037,80,17,8,1
17,-3927.54,-231132,-367534,407.189,0,4006.05,0,408.679,80,16,8,1
18,-3618.93,-231256,-373512,403.824,0,3413.92,0,688.83,80,15,8,1
19,-3043.95,-240689,-363242,480.56,0,2500.37,0,1104.13,80,18,8,1
20,-3043.95,-249154,-372488,480.56,0,2500.37,0,1104.13,80,18,8,1
21,-3028.48,-244660,-369324,449.816,0,2454.16,0,1104.13,80,16,8,1
22,-3028.48,-232718,-385745,449.816,0,2454.16,0,1104.13,80,16,8,1
23,-2245.33,-231155,-389151,316.675,0,1904.03,0,737.976,80,12,8,1
24,-2245.33,-222158,-367663,316.675,0,1904.03,0,737.976,80,12,8,1
25,-2245.33,-248479,-375358,316.675,0,1904.03,0,737.976,80,12,8,1
26,-1971.31,-261406,-368396,469.774,0,1955.12,0,565.962,80,16,8,1
27,-1971.31,-263713,-362023,469.774,0,1955.12,0,565.962,80,16,8,1
28,-1971.31,-253306,-370625,469.774,0,1955.12,0,565.962,80,16,8,1
29,-1971.31,-263594,-360751,469.774,0,1955.12,0,565.962,80,16,8,1
30,-1688.85,-248833,-365694,439.769,0,1642.66,0,565.962,80,15,8,1
31,-1589.57,-257080,-367540,312.87,0,1269.81,0,712.636,80,11,8,1
32,-1311.93,-243463,-371736,430.761,0,1436.28,0,386.407,80,14,8,1
33,-1311.93,-244896,-370344,430.761,0,1436.28,0,386.407,80,14,8,1
34,-1311.93,-239555,-377727,430.761,0,1436.28,0,386.407,80,14,8,1
35,-1154.27,-239421,-364317,334.337,0,1193.95,0,364.651,70,11,7,2
36,-974.831,-226676,-385219,384.145,0,929.725,0,499.252,70,13,7,2
37,-974.831,-229588,-370071,384.145,0,929.725,0,499.252,70,13,7,2
38,-974.831,-223431,-349969,384.145,0,929.725,0,499.252,70,13,7,2
39,-776.975,-220882,-356796,424.397,0,822.481,0,458.892,80,14,8,1
40,-726.384,-209993,-374126,401.414,0,822.481,0,375.317,70,13,7,2
41,-726.384,-213270,-375470,401.414,0,822.481,0,375.317,70,13,7,2
42,-726.384,-208568,-364912,401.414,0,822.481,0,375.317,70,13,7,2
43,-717.439,-230743,-388145,364.561,0,776.683,0,375.317,70,12,7,2
44,-598.418,-235819,-378432,391.855,0,684.955,0,375.317,70,12,7,2
45,-598.418,-229834,-376037,391.855,0,684.955,0,375.317,70,12,7,2
46,-598.418,-222984,-362766,391.855,0,684.955,0,375.317,70,12,7,2
47,-598.418,-228212,-372451,391.855,0,684.955,0,375.317,70,12,7,2
48,-595.684,-234791,-369556,392.002,0,537.157,0,530.529,80,12,8,1
49,-595.684,-235378,-361408,392.002,0,537.157,0,530.529,80,12,8,1
