generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,734.387,646.043,491.482,734.387,0,0,0,0,0,26,8,1
1,765.848,698.059,588.426,765.848,0,0,0,0,0,26,8,1
2,772.813,711.526,624.452,772.813,0,0,0,0,0,26,8,1
3,772.813,707.683,620.943,772.813,0,0,0,0,0,26,8,1
4,777.687,721.801,657.253,777.687,0,0,0,0,0,26,8,1
5,777.687,724.15,647.445,777.687,0,0,0,0,0,26,8,1
6,777.687,724.198,660.263,777.687,0,0,0,0,0,26,8,1
7,777.687,719.316,622.975,777.687,0,0,0,0,0,26,8,1
8,777.687,723.669,645.844,777.687,0,0,0,0,0,26,8,1
9,777.687,720.811,643.231,777.687,0,0,0,0,0,26,8,1
10,777.687,717.597,614.796,777.687,0,0,0,0,0,26,8,1
11,777.687,725.556,650.563,777.687,0,0,0,0,0,26,8,1
12,777.687,721.811,639.705,777.687,0,0,0,0,0,26,8,1
13,777.687,721.223,659.672,777.687,0,0,0,0,0,26,8,1
14,777.687,723.672,632.568,777.687,0,0,0,0,0,26,8,1
15,777.687,720.671,658.613,777.687,0,0,0,0,0,26,8,1
16,777.687,722.85,650.313,777.687,0,0,0,0,0,26,8,1
17,777.687,721.107,615.617,777.687,0,0,0,0,0,26,8,1
18,777.687,719.548,628.933,777.687,0,0,0,0,0,26,8,1
19,777.687,722.417,653.745,777.687,0,0,0,0,0,26,8,1
20,777.687,726.245,655.396,777.687,0,0,0,0,0,26,8,1
21,777.687,719.721,641.084,777.687,0,0,0,0,0,26,8,1
22,777.687,721.232,651.446,777.687,0,0,0,0,0,26,8,1
23,777.687,728.143,662.193,777.687,0,0,0,0,0,26,8,1
24,777.687,720.935,635.076,777.687,0,0,0,0,0,26,8,1
25,777.687,722.239,658.673,777.687,0,0,0,0,0,26,8,1
26,777.687,725.906,655.278,777.687,0,0,0,0,0,26,8,1
27,777.687,723.068,658.786,777.687,0,0,0,0,0,26,8,1
28,777.687,719.965,639.649,777.687,0,0,0,0,0,26,8,1
29,777.687,715.7,632.496,777.687,0,0,0,0,0,26,8,1
30,777.687,719.34,646.989,777.687,0,0,0,0,0,26,8,1
31,777.687,719.898,643.665,777.687,0,0,0,0,0,26,8,1
32,777.687,726.491,656.969,777.687,0,0,0,0,0,26,8,1
33,777.687,720.824,657.435,777.687,0,0,0,0,0,26,8,1
34,777.687,719.617,629.757,777.687,0,0,0,0,0,26,8,1
35,777.687,724.162,635.377,777.687,0,0,0,0,0,26,8,1
36,777.687,718.546,651.522,777.687,0,0,0,0,0,26,8,1
37,777.687,725.265,606.556,777.687,0,0,0,0,0,26,8,1
38,777.687,720.352,648.93,777.687,0,0,0,0,0,26,8,1
39,777.687,723.225,606.686,777.687,0,0,0,0,0,26,8,1
40,777.687,725.894,627.061,777.687,0,0,0,0,0,26,8,1
41,777.687,722.611,642.266,777.687,0,0,0,0,0,26,8,1
42,777.687,721.531,626.045,777.687,0,0,0,0,0,26,8,1
43,777.687,721.583,657.92,777.687,0,0,0,0,0,26,8,1
44,777.687,715.923,612.833,777.687,0,0,0,0,0,26,8,1
45,777.687,722.718,656.721,777.687,0,0,0,0,0,26,8,1
46,777.687,721.301,633.907,777.687,0,0,0,0,0,26,8,1
47,777.687,723.868,640.996,777.687,0,0,0,0,0,26,8,1
48,777.687,722.015,644.265,777.687,0,0,0,0,0,26,8,1
49,777.687,719.063,633.492,777.687,0,0,0,0,0,26,8,1
