generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-111533,-264905,-378938,574.43,924.039,110794,252.338,217.444,80,23,8,1
1,-101224,-252094,-400382,590.784,1123.85,99880.8,288.718,601.902,80,25,8,1
2,-65630,-243498,-368280,523.683,520.57,65002.8,262.937,447.426,80,22,8,1
3,-56012.2,-227820,-371382,527.067,288.615,55680,232.861,417.779,80,21,8,1
4,-56012.2,-238802,-390926,527.067,288.615,55680,232.861,417.779,80,21,8,1
5,-53076.6,-258491,-380811,547.239,488.577,52503.5,264.347,447.426,80,22,8,1
6,-33717.1,-238864,-376958,513.471,155.861,33436.1,211.952,506.728,80,20,8,1
7,-33717.1,-235323,-381655,513.471,155.861,33436.1,211.952,506.728,80,20,8,1
8,-31355.3,-238255,-366914,524.153,227.787,31008.5,216.479,506.728,80,20,8,1
9,-30354.8,-232717,-366526,420.339,168.405,29766.5,191.873,728.427,80,19,8,1
10,-30354.8,-241317,-364239,420.339,168.405,29766.5,191.873,728.427,80,19,8,1
11,-15778.5,-235228,-382505,458.855,71.9262,15414.1,191.991,639.279,80,18,8,1
12,-11562.1,-235871,-373928,460.654,71.9262,11385.3,175.572,469.918,80,17,8,1
13,-11562.1,-232536,-367569,460.654,71.9262,11385.3,175.572,469.918,80,17,8,1
14,-8265.69,-228180,-387990,499.675,0,7804.99,219.171,821.204,80,20,8,1
15,-5359.83,-207988,-371984,485.665,0,5610.38,170.661,144.451,80,18,8,1
16,-4688.78,-229031,-360900,418.758,0,4811.43,159.165,216.936,80,16,8,1
17,-3354.44,-226458,-372213,422.128,0,3410.67,155.074,290.826,80,17,8,1
18,-1470.28,-215011,-358387,378.829,0,1355.9,102.224,470.982,80,14,8,1
19,-1470.28,-207269,-366026,378.829,0,1355.9,102.224,470.982,80,14,8,1
20,-1470.28,-204322,-374638,378.829,0,1355.9,102.224,470.982,80,14,8,1
21,-1233.2,-194969,-368854,356.316,0,1354.43,118.505,196.578,80,14,8,1
22,-709.089,-190852,-368353,381.008,0,934.656,90.9539,144.486,80,13,8,1
23,-709.089,-196359,-377549,381.008,0,934.656,90.9539,144.486,80,13,8,1
24,-709.089,-199086,-384195,381.008,0,934.656,90.9539,144.486,80,13,8,1
25,-709.089,-191529,-360915,381.008,0,934.656,90.9539,144.486,80,13,8,1
26,-614.73,-198456,-374160,424.429,0,815.937,90.2178,213.005,80,14,8,1
27,-517.729,-198843,-366252,344.155,0,714.451,82.9467,144.486,80,12,8,1
28,-517.729,-205257,-387079,344.155,0,714.451,82.9467,144.486,80,12,8,1
29,-517.729,-217545,-357416,344.155,0,714.451,82.9467,144.486,80,12,8,1
30,-517.729,-228864,-383151,344.155,0,714.451,82.9467,144.486,80,12,8,1
31,-517.729,-229995,-391050,344.155,0,714.451,82.9467,144.486,80,12,8,1
32,-517.729,-236086,-384131,344.155,0,714.451,82.9467,144.486,80,12,8,1
33,-517.729,-225334,-392547,344.155,0,714.451,82.9467,144.486,80,12,8,1
34,-399.288,-207530,-369009,306.805,0,497.621,55.1399,233.333,80,11,8,1
35,-399.288,-211340,-374008,306.805,0,497.621,55.1399,233.333,80,11,8,1
36,-399.288,-233077,-363547,306.805,0,497.621,55.1399,233.333,80,11,8,1
37,-67.0065,-227685,-379647,293.655,0,178.348,28.981,233.333,80,10,8,1
38,-67.0065,-205818,-364075,293.655,0,178.348,28.981,233.333,80,10,8,1
39,-67.0065,-210670,-375239,293.655,0,178.348,28.981,233.333,80,10,8,1
40,-67.0065,-213911,-372565,293.655,0,178.348,28.981,233.333,80,10,8,1
41,-67.0065,-204744,-358519,293.655,0,178.348,28.981,233.333,80,10,8,1
42,-67.0065,-212275,-373782,293.655,0,178.348,28.981,233.333,80,10,8,1
43,-67.0065,-200788,-370331,293.655,0,178.348,28.981,233.333,80,10,8,1
44,-67.0065,-197597,-384213,293.655,0,178.348,28.981,233.333,80,10,8,1
45,-67.0065,-188866,-359740,293.655,0,178.348,28.981,233.333,80,10,8,1
46,-67.0065,-212767,-372021,293.655,0,178.348,28.981,233.333,80,10,8,1
47,34.6562,-207955,-373225,325.288,0,178.173,47.9731,144.486,80,10,8,1
48,34.6562,-191821,-376707,325.288,0,178.173,47.9731,144.486,80,10,8,1
49,34.6562,-201284,-378072,325.288,0,178.173,47.9731,144.486,80,10,8,1
