generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-20658.5,-34066.9,-62795.7,1022.31,60.3985,20705.6,402.567,602.226,90,32,9,1
1,-19555.6,-31939.1,-49463.3,1093.32,73.6182,19847.9,350.368,466.953,90,32,9,1
2,-17018.2,-32193.9,-46924.2,1071.56,60.3985,17330.5,395.004,393.882,90,32,9,1
3,-17018.2,-31554,-50470.4,1071.56,60.3985,17330.5,395.004,393.882,90,32,9,1
4,-17018.2,-31891.9,-50447.6,1071.56,60.3985,17330.5,395.004,393.882,90,32,9,1
5,-14981.3,-31916.5,-49937.3,1069.32,60.3985,15388.3,356.746,335.127,90,32,9,1
6,-12939.9,-31476.9,-48241.7,976.162,0,12998.3,405.473,602.226,90,32,9,1
7,-12939.9,-31847.9,-45065.8,976.162,0,12998.3,405.473,602.226,90,32,9,1
8,-12939.9,-32303.3,-50004.7,976.162,0,12998.3,405.473,602.226,90,32,9,1
9,-12939.9,-31184.9,-47614,976.162,0,12998.3,405.473,602.226,90,32,9,1
10,-10363.3,-31093.5,-47333,1050.27,0,10866.9,333.048,303.674,90,30,9,1
11,-10363.3,-30692.6,-47053.7,1050.27,0,10866.9,333.048,303.674,90,30,9,1
12,-10363.3,-30886,-52388.1,1050.27,0,10866.9,333.048,303.674,90,30,9,1
13,-10173,-31191.6,-46137.7,1019.81,0,10651.6,327.512,303.674,90,29,9,1
14,-8790.48,-32196,-50646.6,1037.92,0,9268.37,346.354,303.674,90,30,9,1
15,-8064.2,-31065.8,-53011.9,1014.11,0,8540.19,324.447,303.674,90,29,9,1
16,-8064.2,-31162.1,-51720.8,1014.11,0,8540.19,324.447,303.674,90,29,9,1
17,-7873.71,-31244.1,-51506.4,991.665,0,8305.17,346.532,303.674,90,29,9,1
18,-7873.71,-31827.7,-56444.9,991.665,0,8305.17,346.532,303.674,90,29,9,1
19,-7758.75,-31553.9,-50523.1,957.662,0,8147.92,313.562,344.926,90,28,9,1
20,-7558.84,-31651.1,-52401.2,928.669,0,7767.17,344.164,466.175,90,28,9,1
21,-7558.84,-32126.3,-53206.4,928.669,0,7767.17,344.164,466.175,90,28,9,1
22,-7558.84,-31341.5,-53744,928.669,0,7767.17,344.164,466.175,90,28,9,1
23,-7276.39,-31831.3,-55287.2,906.328,0,7427.3,358.773,486.642,90,28,9,1
24,-7276.39,-31512.1,-48108.1,906.328,0,7427.3,358.773,486.642,90,28,9,1
25,-7276.39,-32518.4,-51475.7,906.328,0,7427.3,358.773,486.642,90,28,9,1
26,-7276.39,-31793.7,-49251.6,906.328,0,7427.3,358.773,486.642,90,28,9,1
27,-7276.39,-30755.4,-49632.2,906.328,0,7427.3,358.773,486.642,90,28,9,1
28,-7092.63,-32038.9,-50861,830.411,0,7221.81,304.593,486.642,90,25,9,1
29,-7092.63,-31508.7,-53125.7,830.411,0,7221.81,304.593,486.642,90,25,9,1
30,-7092.63,-31330.7,-49187.2,830.411,0,7221.81,304.593,486.642,90,25,9,1
31,-7092.63,-31984.7,-49080.4,830.411,0,7221.81,304.593,486.642,90,25,9,1
32,-7092.63,-31814.7,-44325.2,830.411,0,7221.81,304.593,486.642,90,25,9,1
33,-7092.63,-31609.3,-50185.9,830.411,0,7221.81,304.593,486.642,90,25,9,1
34,-7025.33,-31582.4,-50291.1,850.717,0,7152.03,327.374,486.642,90,26,9,1
35,-6587.1,-31389.5,-50801.8,852.753,0,6770.09,293.583,466.175,90,25,9,1
36,-6587.1,-30048.7,-49932.3,852.753,0,6770.09,293.583,466.175,90,25,9,1
37,-6587.1,-31052.7,-48698.2,852.753,0,6770.09,293.583,466.175,90,25,9,1
38,-6039.1,-30600.1,-46976.3,812.879,0,6154.64,300.701,486.642,90,24,9,1
39,-5541.63,-31054.8,-48708.5,825.142,0,5684.5,285.626,486.642,90,24,9,1
40,-5541.63,-29914.9,-47966,825.142,0,5684.5,285.626,486.642,90,24,9,1
41,-5541.63,-31619.2,-55081.7,825.142,0,5684.5,285.626,486.642,90,24,9,1
42,-4276.07,-30745.2,-55733.8,771.523,0,4383.34,267.61,486.642,90,22,9,1
43,-4276.07,-31260.8,-65246.9,771.523,0,4383.34,267.61,486.642,90,22,9,1
44,-4276.07,-30161.7,-48363.2,771.523,0,4383.34,267.61,486.642,90,22,9,1
45,-4276.07,-30281,-57849.1,771.523,0,4383.34,267.61,486.642,90,22,9,1
46,-4276.07,-31313.3,-60577.6,771.523,0,4383.34,267.61,486.642,90,22,9,1
47,-4276.07,-32213.6,-66821.5,771.523,0,4383.34,267.61,486.642,90,22,9,1
48,-4276.07,-32638.3,-66669.3,771.523,0,4383.34,267.61,486.642,90,22,9,1
49,-4064.98,-30454.3,-51503.6,817.007,0,4472.23,236.91,262.842,90,22,9,1
