generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,364.515,-4981.9,-30222.4,325.865,0,1.01687,0.332549,0,40,4,4,1
1,364.515,-4421.13,-30246.6,325.865,0,1.01687,0.332549,0,40,4,4,1
2,364.515,-4892.11,-32630.1,325.865,0,1.01687,0.332549,0,40,4,4,1
3,364.515,-4918.66,-30481.3,325.865,0,1.01687,0.332549,0,40,4,4,1
4,396.116,-5054.05,-35630,356.235,0,0.118586,0,0,40,4,4,1
5,396.116,-4795.52,-30797.4,356.235,0,0.118586,0,0,40,4,4,1
6,396.116,-4490.3,-34814.9,356.235,0,0.118586,0,0,40,4,4,1
7,396.116,-4261.37,-35696.1,356.235,0,0.118586,0,0,40,4,4,1
8,439.262,-4023.45,-31148.3,399.472,0,0.210541,0,0,40,4,4,1
9,439.262,-4500.48,-32449.2,399.472,0,0.210541,0,0,40,4,4,1
10,439.262,-5998.28,-32449.2,399.472,0,0.210541,0,0,40,4,4,1
11,439.262,-3149.37,-19804.1,399.472,0,0.210541,0,0,40,4,4,1
12,439.262,-4335.23,-32705.2,399.472,0,0.210541,0,0,40,4,4,1
13,439.262,-5434.12,-33680.2,399.472,0,0.210541,0,0,40,4,4,1
14,439.262,-5028.27,-32344.5,399.472,0,0.210541,0,0,40,4,4,1
15,439.262,-3909.59,-32573.8,399.472,0,0.210541,0,0,40,4,4,1
16,439.262,-4146.56,-29171.3,399.472,0,0.210541,0,0,40,4,4,1
17,439.262,-4338.14,-34430.4,399.472,0,0.210541,0,0,40,4,4,1
18,439.262,-6211.88,-33382.9,399.472,0,0.210541,0,0,40,4,4,1
19,439.262,-4887.88,-37492.3,399.472,0,0.210541,0,0,40,4,4,1
20,439.262,-4019.76,-32814,399.472,0,0.210541,0,0,40,4,4,1
21,439.262,-3151.03,-34383.9,399.472,0,0.210541,0,0,40,4,4,1
22,439.262,-5098.25,-33159,399.472,0,0.210541,0,0,40,4,4,1
23,439.262,-5787.22,-35713,399.472,0,0.210541,0,0,40,4,4,1
24,439.262,-5046.65,-34150.9,399.472,0,0.210541,0,0,40,4,4,1
25,439.262,-4928.43,-34526.2,399.472,0,0.210541,0,0,40,4,4,1
26,439.262,-4951.54,-35291.2,399.472,0,0.210541,0,0,40,4,4,1
27,439.262,-5022.48,-34523,399.472,0,0.210541,0,0,40,4,4,1
28,439.262,-4925.63,-34523,399.472,0,0.210541,0,0,40,4,4,1
29,439.262,-4371.67,-32344.5,399.472,0,0.210541,0,0,40,4,4,1
30,439.262,-4205.92,-32518.7,399.472,0,0.210541,0,0,40,4,4,1
31,439.262,-5001.98,-37784.5,399.472,0,0.210541,0,0,40,4,4,1
32,439.262,-4047.16,-29634.8,399.472,0,0.210541,0,0,40,4,4,1
33,439.262,-3638.09,-25500.5,399.472,0,0.210541,0,0,40,4,4,1
34,439.262,-4415.91,-32695.9,399.472,0,0.210541,0,0,40,4,4,1
35,439.262,-4800.6,-34941.4,399.472,0,0.210541,0,0,40,4,4,1
36,439.262,-4581.39,-32777.9,399.472,0,0.210541,0,0,40,4,4,1
37,439.262,-4167.09,-34566.9,399.472,0,0.210541,0,0,40,4,4,1
38,439.262,-4703.69,-31071.8,399.472,0,0.210541,0,0,40,4,4,1
39,439.262,-4160.32,-31411.1,399.472,0,0.210541,0,0,40,4,4,1
40,439.262,-5177.1,-35394.7,399.472,0,0.210541,0,0,40,4,4,1
41,439.262,-4079.76,-32404.1,399.472,0,0.210541,0,0,40,4,4,1
42,439.262,-4267.69,-35224.3,399.472,0,0.210541,0,0,40,4,4,1
43,439.262,-3946.49,-30144.2,399.472,0,0.210541,0,0,40,4,4,1
44,439.262,-2813.29,-25653,399.472,0,0.210541,0,0,40,4,4,1
45,439.262,-4085.96,-34269.8,399.472,0,0.210541,0,0,40,4,4,1
46,439.262,-4627.23,-30967.5,399.472,0,0.210541,0,0,40,4,4,1
47,439.262,-5240.7,-34220.2,399.472,0,0.210541,0,0,40,4,4,1
48,439.262,-4233.63,-32625.8,399.472,0,0.210541,0,0,40,4,4,1
49,439.262,-4613.99,-31203.1,399.472,0,0.210541,0,0,40,4,4,1
