generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-755.675,-35763.4,-49891.9,281.388,0,771.073,130.957,195.034,60,13,6,1
1,-709.715,-37694.2,-48085.4,273.361,0,694.599,153.443,195.034,60,13,6,1
2,-709.715,-37494,-48085.4,273.361,0,694.599,153.443,195.034,60,13,6,1
3,-709.611,-37959.4,-48085.4,259.549,0,711.901,122.226,195.034,60,12,6,1
4,-641.558,-37227.2,-48085.4,287.834,0,476.032,155.393,357.966,60,13,6,1
5,-641.558,-37311.5,-48085.4,287.834,0,476.032,155.393,357.966,60,13,6,1
6,-641.558,-35082.3,-48085.4,287.834,0,476.032,155.393,357.966,60,13,6,1
7,-396.479,-36314.2,-47909.9,265.033,0,453.269,156.649,111.594,60,12,6,1
8,-396.479,-35975.9,-47909.9,265.033,0,453.269,156.649,111.594,60,12,6,1
9,-293.5,-38117.3,-47909.9,220.418,0,118.721,109.786,345.411,60,9,6,1
10,-293.5,-37121.3,-48085.4,220.418,0,118.721,109.786,345.411,60,9,6,1
11,-214.522,-37261.2,-48085.4,239.447,0,263.866,83.3395,166.764,60,10,6,1
12,-214.522,-37419.8,-47909.9,239.447,0,263.866,83.3395,166.764,60,10,6,1
13,-182.635,-37044.3,-47909.9,229,0,262.341,97.6991,111.594,60,10,6,1
14,-182.635,-36787.6,-47909.9,229,0,262.341,97.6991,111.594,60,10,6,1
15,-168.933,-37554,-47909.9,211.469,0,233.082,95.7259,111.594,60,9,6,1
16,2.80585,-35156.6,-47909.9,204.125,0,86.3476,63.3778,111.594,60,8,6,1
17,2.80585,-35685.6,-48085.4,204.125,0,86.3476,63.3778,111.594,60,8,6,1
18,2.80585,-36224.7,-47909.9,204.125,0,86.3476,63.3778,111.594,60,8,6,1
19,2.80585,-33740.6,-47909.9,204.125,0,86.3476,63.3778,111.594,60,8,6,1
20,2.80585,-35238.9,-47909.9,204.125,0,86.3476,63.3778,111.594,60,8,6,1
21,2.80585,-35136.6,-48085.4,204.125,0,86.3476,63.3778,111.594,60,8,6,1
22,2.80585,-33641.7,-47909.9,204.125,0,86.3476,63.3778,111.594,60,8,6,1
23,2.80585,-36689.3,-47909.9,204.125,0,86.3476,63.3778,111.594,60,8,6,1
24,2.80585,-35990.5,-47909.9,204.125,0,86.3476,63.3778,111.594,60,8,6,1
25,28.0843,-35368,-48085.4,186.295,0,21.8016,55.1484,141.261,60,7,6,1
26,28.0843,-35318.1,-47909.9,186.295,0,21.8016,55.1484,141.261,60,7,6,1
27,28.0843,-36439.4,-48085.4,186.295,0,21.8016,55.1484,141.261,60,7,6,1
28,28.0843,-36279.2,-48085.4,186.295,0,21.8016,55.1484,141.261,60,7,6,1
29,28.0843,-35657.9,-48085.4,186.295,0,21.8016,55.1484,141.261,60,7,6,1
30,28.0843,-35491.4,-48085.4,186.295,0,21.8016,55.1484,141.261,60,7,6,1
31,28.0843,-36279.1,-48085.4,186.295,0,21.8016,55.1484,141.261,60,7,6,1
32,28.0843,-36539.3,-47909.9,186.295,0,21.8016,55.1484,141.261,60,7,6,1
33,28.0843,-37576.5,-48085.4,186.295,0,21.8016,55.1484,141.261,60,7,6,1
34,28.0843,-36707.3,-48085.4,186.295,0,21.8016,55.1484,141.261,60,7,6,1
35,28.0843,-34818.3,-47909.9,186.295,0,21.8016,55.1484,141.261,60,7,6,1
36,28.0843,-36618.8,-47909.9,186.295,0,21.8016,55.1484,141.261,60,7,6,1
37,28.0843,-36279.8,-47909.9,186.295,0,21.8016,55.1484,141.261,60,7,6,1
38,28.0843,-37555.9,-47909.9,186.295,0,21.8016,55.1484,141.261,60,7,6,1
39,28.0843,-36825.4,-48085.4,186.295,0,21.8016,55.1484,141.261,60,7,6,1
40,28.0843,-37633.4,-48085.4,186.295,0,21.8016,55.1484,141.261,60,7,6,1
41,28.0843,-36268.8,-47909.9,186.295,0,21.8016,55.1484,141.261,60,7,6,1
42,28.0843,-37679.4,-47909.9,186.295,0,21.8016,55.1484,141.261,60,7,6,1
43,74.101,-35680,-48085.4,178.268,0,10.0418,12.8639,141.261,60,7,6,1
44,74.101,-36900.2,-47909.9,178.268,0,10.0418,12.8639,141.261,60,7,6,1
45,74.101,-36891.3,-47909.9,178.268,0,10.0418,12.8639,141.261,60,7,6,1
46,74.101,-37503.1,-48085.4,178.268,0,10.0418,12.8639,141.261,60,7,6,1
47,106.855,-37044.8,-47909.9,164.761,0,6.35016,8.78234,102.773,60,6,6,1
48,106.855,-36677.8,-47909.9,164.761,0,6.35016,8.78234,102.773,60,6,6,1
49,106.855,-36608.4,-47909.9,164.761,0,6.35016,8.78234,102.773,60,6,6,1
