generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-5326.7,-10768.2,-17244,408.616,0,4184.9,165.168,1455.24,70,17,7,1
1,-4344.16,-10198.6,-18224.9,339.945,0,4257.82,173.2,323.085,70,14,7,1
2,-4337.67,-10857.5,-18952.3,347.199,0,4229.56,167.847,357.463,70,14,7,1
3,-4337.67,-10491.4,-17174.3,347.199,0,4229.56,167.847,357.463,70,14,7,1
4,-4337.67,-10401.2,-17179.1,347.199,0,4229.56,167.847,357.463,70,14,7,1
5,-4096.17,-10572.7,-18224.9,362.444,0,3762.01,169.799,596.8,70,14,7,1
6,-3921.66,-10358,-17174.3,338.619,0,3842.48,164.713,323.085,70,14,7,1
7,-3420.19,-10150,-17660,362.731,0,3117.32,159.204,576.397,70,14,7,1
8,-2593.02,-10026.8,-17750.9,330.383,0,2308.48,88.1199,596.8,70,12,7,1
9,-2263.54,-10347.6,-19389.9,282.204,0,2124.61,127.326,363.805,70,10,7,1
10,-2263.54,-10234,-16611.3,282.204,0,2124.61,127.326,363.805,70,10,7,1
11,-2263.54,-10136.5,-17792.3,282.204,0,2124.61,127.326,363.805,70,10,7,1
12,-2231.38,-10397.3,-18224.9,304.587,0,2119.46,143.234,343.266,70,12,7,1
13,-2231.38,-9718.23,-17644.1,304.587,0,2119.46,143.234,343.266,70,12,7,1
14,-2114.09,-10278.1,-17666.1,354.613,0,2058.67,136.763,343.266,70,14,7,1
15,-2025.59,-10166.4,-18060.4,260.834,0,1959.02,69.0202,328.39,70,9,7,1
16,-1630.61,-9464.43,-17837.4,332.591,0,1356.67,112.341,564.192,70,13,7,1
17,-1490.14,-10029.2,-18952.3,273.045,0,1442.62,70.6479,319.922,70,10,7,1
18,-1490.14,-9528.77,-15728.1,273.045,0,1442.62,70.6479,319.922,70,10,7,1
19,-1490.14,-9541.4,-18131.2,273.045,0,1442.62,70.6479,319.922,70,10,7,1
20,-680.067,-9462.82,-17174.3,251.088,0,591.517,55.963,353.675,70,9,7,1
21,-680.067,-9798.54,-17843.6,251.088,0,591.517,55.963,353.675,70,9,7,1
22,-536.421,-10072.5,-16981,301.722,0,298.389,84.4513,525.303,70,11,7,1
23,-536.421,-9635.14,-17750.9,301.722,0,298.389,84.4513,525.303,70,11,7,1
24,-121.188,-9359,-17174.3,240.503,0,22.6851,55.331,353.675,70,8,7,1
25,-121.188,-9555,-18609.3,240.503,0,22.6851,55.331,353.675,70,8,7,1
26,-121.188,-9482.14,-16611.3,240.503,0,22.6851,55.331,353.675,70,8,7,1
27,-121.188,-9639.77,-17179.1,240.503,0,22.6851,55.331,353.675,70,8,7,1
28,-4.26134,-9668.12,-16971.1,248.054,0,107.893,53.4144,161.008,70,8,7,1
29,-4.26134,-9739.74,-17244,248.054,0,107.893,53.4144,161.008,70,8,7,1
30,-4.26134,-9778.85,-17181.9,248.054,0,107.893,53.4144,161.008,70,8,7,1
31,-4.26134,-9781.5,-17174.3,248.054,0,107.893,53.4144,161.008,70,8,7,1
32,-4.26134,-10156.4,-18952.3,248.054,0,107.893,53.4144,161.008,70,8,7,1
33,84.9491,-9718.42,-17644.1,234.87,0,107.893,53.4144,48.614,60,7,6,2
34,84.9491,-10240.8,-17836.5,234.87,0,107.893,53.4144,48.614,60,7,6,2
35,84.9491,-9918.86,-17174.3,234.87,0,107.893,53.4144,48.614,60,7,6,2
36,84.9491,-10000.4,-16725.1,234.87,0,107.893,53.4144,48.614,60,7,6,2
37,84.9491,-9513.13,-17174.3,234.87,0,107.893,53.4144,48.614,60,7,6,2
38,84.9491,-9712.79,-17836.5,234.87,0,107.893,53.4144,48.614,60,7,6,2
39,84.9491,-10111.8,-18966.9,234.87,0,107.893,53.4144,48.614,60,7,6,2
40,84.9491,-9200.75,-15280.5,234.87,0,107.893,53.4144,48.614,60,7,6,2
41,174.678,-9776.96,-18085.2,217.362,0,13.8397,40.2307,48.614,60,6,6,2
42,174.678,-9778.19,-17179.1,217.362,0,13.8397,40.2307,48.614,60,6,6,2
43,174.678,-9777.65,-17811.6,217.362,0,13.8397,40.2307,48.614,60,6,6,2
44,174.678,-9386.24,-19388.8,217.362,0,13.8397,40.2307,48.614,60,6,6,2
45,174.678,-9398.81,-16663.7,217.362,0,13.8397,40.2307,48.614,60,6,6,2
46,174.678,-9730.22,-18784,217.362,0,13.8397,40.2307,48.614,60,6,6,2
47,174.678,-9044.27,-18608.5,217.362,0,13.8397,40.2307,48.614,60,6,6,2
48,174.678,-9613.63,-16887.8,217.362,0,13.8397,40.2307,48.614,60,6,6,2
49,174.678,-10002.5,-18224.9,217.362,0,13.8397,40.2307,48.614,60,6,6,2
