generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-879344,-1.40124e+06,-2.12258e+06,1140.39,8554.42,870193,566.004,1280.52,110,42,11,1
1,-701688,-1.25296e+06,-2.02703e+06,1222.4,9196.85,690467,578.753,2778.14,110,44,11,1
2,-701688,-1.12683e+06,-1.78938e+06,1222.4,9196.85,690467,578.753,2778.14,110,44,11,1
3,-664306,-1.09306e+06,-1.77038e+06,1149.32,7585.7,654666,535.21,2778.14,110,41,11,1
4,-559130,-1.04164e+06,-1.80553e+06,1041.05,8731.98,548787,568.13,2194.24,110,44,11,1
5,-505456,-1.00243e+06,-1.88475e+06,1173.57,8300.9,495163,577.562,2697.47,110,44,11,1
6,-505456,-966059,-2.36398e+06,1173.57,8300.9,495163,577.562,2697.47,110,44,11,1
7,-505456,-980738,-1.96023e+06,1173.57,8300.9,495163,577.562,2697.47,110,44,11,1
8,-421762,-1.02075e+06,-1.85805e+06,1012.97,6702.1,413604,529.259,2049.43,110,42,11,1
9,-396889,-1.0395e+06,-2.04772e+06,1042.51,5698.22,389442,506.419,2394.61,110,41,11,1
10,-396889,-984806,-1.94807e+06,1042.51,5698.22,389442,506.419,2394.61,110,41,11,1
11,-396889,-953033,-1.76424e+06,1042.51,5698.22,389442,506.419,2394.61,110,41,11,1
12,-396355,-941724,-1.67386e+06,984.558,5571.2,388982,499.663,2396.8,110,39,11,1
13,-369906,-949870,-1.84655e+06,1158.1,6067.46,362406,531.696,2168.47,110,42,11,1
14,-369906,-957407,-1.74597e+06,1158.1,6067.46,362406,531.696,2168.47,110,42,11,1
15,-336931,-906044,-1.55625e+06,1009.59,3831.28,331460,465.155,2284.55,100,38,10,2
16,-336931,-947412,-1.81315e+06,1009.59,3831.28,331460,465.155,2284.55,100,38,10,2
17,-309322,-920406,-1.71897e+06,1047.63,4667.36,303503,499.771,1799.43,100,38,10,2
18,-309322,-891412,-1.7619e+06,1047.63,4667.36,303503,499.771,1799.43,100,38,10,2
19,-309322,-882832,-1.72065e+06,1047.63,4667.36,303503,499.771,1799.43,100,38,10,2
20,-305910,-966613,-1.7831e+06,1103.45,4576.13,299734,509.7,2293.96,100,40,10,2
21,-290552,-963031,-1.72712e+06,1158.35,4253.35,284567,501.83,2498.41,110,41,11,1
22,-244986,-941659,-1.87211e+06,1039.55,3678.08,239622,462.613,2363.07,100,38,10,2
23,-244986,-958141,-1.86882e+06,1039.55,3678.08,239622,462.613,2363.07,100,38,10,2
24,-237810,-966553,-1.80404e+06,920.598,3412.87,232602,453.356,2363.07,100,36,10,2
25,-201376,-1.01031e+06,-1.68016e+06,969.054,2954.55,196156,470.487,2863.26,100,35,10,2
26,-201376,-938573,-1.96773e+06,969.054,2954.55,196156,470.487,2863.26,100,35,10,2
27,-201376,-996369,-1.87244e+06,969.054,2954.55,196156,470.487,2863.26,100,35,10,2
28,-177937,-1.01055e+06,-1.96782e+06,864.734,2604.94,173022,411.751,2863.26,100,32,10,2
29,-177937,-1.00773e+06,-1.76015e+06,864.734,2604.94,173022,411.751,2863.26,100,32,10,2
30,-177937,-967741,-1.93961e+06,864.734,2604.94,173022,411.751,2863.26,100,32,10,2
31,-177937,-885249,-1.82949e+06,864.734,2604.94,173022,411.751,2863.26,100,32,10,2
32,-142563,-961128,-1.96067e+06,843.05,1774.85,138984,384.234,2363.07,100,32,10,2
33,-142563,-948175,-1.86728e+06,843.05,1774.85,138984,384.234,2363.07,100,32,10,2
34,-142563,-968478,-1.6948e+06,843.05,1774.85,138984,384.234,2363.07,100,32,10,2
35,-142563,-928130,-1.72653e+06,843.05,1774.85,138984,384.234,2363.07,100,32,10,2
36,-142563,-919168,-1.86783e+06,843.05,1774.85,138984,384.234,2363.07,100,32,10,2
37,-130726,-910761,-1.67469e+06,787.275,1589.76,127296,363.983,2363.07,100,30,10,2
38,-130726,-945650,-1.72165e+06,787.275,1589.76,127296,363.983,2363.07,100,30,10,2
39,-130726,-967686,-1.91492e+06,787.275,1589.76,127296,363.983,2363.07,100,30,10,2
40,-130726,-957956,-1.75322e+06,787.275,1589.76,127296,363.983,2363.07,100,30,10,2
41,-130726,-949344,-1.71655e+06,787.275,1589.76,127296,363.983,2363.07,100,30,10,2
42,-130726,-969983,-1.84426e+06,787.275,1589.76,127296,363.983,2363.07,100,30,10,2
43,-130726,-992619,-2.00029e+06,787.275,1589.76,127296,363.983,2363.07,100,30,10,2
44,-130726,-955936,-1.70029e+06,787.275,1589.76,127296,363.983,2363.07,100,30,10,2
45,-118123,-957873,-2.05194e+06,762.758,1472.96,114664,354.084,2505.22,110,30,11,1
46,-118123,-958195,-1.76015e+06,762.758,1472.96,114664,354.084,2505.22,110,30,11,1
47,-115945,-944225,-2.0314e+06,786.485,1054.96,112856,331.511,2599.69,110,30,11,1
48,-115945,-942083,-1.74229e+06,786.485,1054.96,112856,331.511,2599.69,110,30,11,1
49,-115945,-974101,-1.9167e+06,786.485,1054.96,112856,331.511,2599.69,110,30,11,1
