generation,best_fitness,avg_fitness,worst_fitness,inlier_reward,cycle_penalty,edge_residual_penalty,rot_residual_penalty,overlap_penalty,connectivity_reward,active_pairs,largest_component,num_components
0,-316476,-407686,-488953,973.685,5538.36,310177,637.33,1207.01,110,46,11,1
1,-311537,-398771,-503712,1006.71,5552.8,305213,640.359,1247.12,110,46,11,1
2,-302943,-385697,-484699,971.18,4176.54,297703,602.419,1541.84,110,43,11,1
3,-251356,-379892,-475124,998.517,4910.77,245772,609.5,1172.49,110,43,11,1
4,-251356,-369663,-478730,998.517,4910.77,245772,609.5,1172.49,110,43,11,1
5,-226283,-366061,-484861,991.119,3075.29,222940,572.291,796.524,110,41,11,1
6,-206672,-355048,-477677,914.285,3566.96,202531,509.3,1088.59,110,38,11,1
7,-206672,-349134,-467525,914.285,3566.96,202531,509.3,1088.59,110,38,11,1
8,-206672,-359533,-468839,914.285,3566.96,202531,509.3,1088.59,110,38,11,1
9,-195109,-354342,-490309,939.29,3324.46,190945,518.931,1370.24,110,39,11,1
10,-176527,-353630,-474590,919.485,2897.65,173476,486.42,696.797,110,37,11,1
11,-176527,-353712,-487630,919.485,2897.65,173476,486.42,696.797,110,37,11,1
12,-147304,-350483,-524211,882.022,1980.29,145110,464.498,742.106,110,35,11,1
13,-147304,-349559,-473167,882.022,1980.29,145110,464.498,742.106,110,35,11,1
14,-147304,-345966,-500354,882.022,1980.29,145110,464.498,742.106,110,35,11,1
15,-147304,-357135,-486791,882.022,1980.29,145110,464.498,742.106,110,35,11,1
16,-147304,-350175,-472843,882.022,1980.29,145110,464.498,742.106,110,35,11,1
17,-141061,-346095,-467652,874.208,1852.18,138855,458.374,880.009,110,36,11,1
18,-141061,-350032,-453570,874.208,1852.18,138855,458.374,880.009,110,36,11,1
19,-140419,-356665,-473303,913.517,1639.32,138569,470.251,763.516,110,35,11,1
20,-125465,-359446,-468154,890.884,1353.37,123908,440.935,763.516,110,34,11,1
21,-116886,-364990,-473793,845.212,1280.72,115256,424.891,880,110,33,11,1
22,-116886,-360846,-462064,845.212,1280.72,115256,424.891,880,110,33,11,1
23,-116886,-358187,-469404,845.212,1280.72,115256,424.891,880,110,33,11,1
24,-116886,-362044,-476646,845.212,1280.72,115256,424.891,880,110,33,11,1
25,-115325,-361286,-460964,831.079,1126.62,113819,440.634,880,110,33,11,1
26,-115325,-367242,-479312,831.079,1126.62,113819,440.634,880,110,33,11,1
27,-115325,-366619,-498053,831.079,1126.62,113819,440.634,880,110,33,11,1
28,-115325,-363207,-467622,831.079,1126.62,113819,440.634,880,110,33,11,1
29,-115325,-358314,-484014,831.079,1126.62,113819,440.634,880,110,33,11,1
30,-115325,-352637,-451643,831.079,1126.62,113819,440.634,880,110,33,11,1
31,-115325,-362520,-474125,831.079,1126.62,113819,440.634,880,110,33,11,1
32,-115325,-364617,-460237,831.079,1126.62,113819,440.634,880,110,33,11,1
33,-115325,-362512,-495439,831.079,1126.62,113819,440.634,880,110,33,11,1
34,-115325,-358072,-458154,831.079,1126.62,113819,440.634,880,110,33,11,1
35,-115325,-368308,-463125,831.079,1126.62,113819,440.634,880,110,33,11,1
36,-115325,-361903,-482618,831.079,1126.62,113819,440.634,880,110,33,11,1
37,-114943,-358056,-463341,821.449,997.64,113585,423.64,868.394,110,32,11,1
38,-114943,-362689,-455046,821.449,997.64,113585,423.64,868.394,110,32,11,1
39,-113803,-361874,-466321,806.814,979.374,112435,425.435,880,110,32,11,1
40,-113803,-365374,-494416,806.814,979.374,112435,425.435,880,110,32,11,1
41,-113803,-363261,-470136,806.814,979.374,112435,425.435,880,110,32,11,1
42,-113803,-357832,-468658,806.814,979.374,112435,425.435,880,110,32,11,1
43,-113803,-355294,-476913,806.814,979.374,112435,425.435,880,110,32,11,1
44,-113604,-354206,-488723,782.181,979.374,112227,409.549,880,110,31,11,1
45,-113604,-367584,-479854,782.181,979.374,112227,409.549,880,110,31,11,1
46,-113604,-366434,-475658,782.181,979.374,112227,409.549,880,110,31,11,1
47,-113604,-363688,-460784,782.181,979.374,112227,409.549,880,110,31,11,1
48,-113604,-370787,-468438,782.181,979.374,112227,409.549,880,110,31,11,1
49,-113604,-366281,-464447,782.181,979.374,112227,409.549,880,110,31,11,1
